what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.net",1343826655125
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.core",1343826655150
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.feed",1343826655172
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.ui",1343826655191
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.ui",1343826655218
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.workbench",1343826655252
started,bundle,org.eclipse.mylyn.context.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.core",1343826655270
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.tasks.ui",1343826655298
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.monitor.ui",1343826655323
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.index.core",1343826655348
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1343826655438
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1343826655492
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1343826655554
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1343826655595
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1343826655622
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1343826655663
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1343826655735
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1343826655774
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1343826655869
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1343826655916
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1343826655944
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1343826655974
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1343826656004
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1343826656045
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1343826656116
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1343826656151
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1343826656194
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1343826656210
started,bundle,com.android.ide.eclipse.base,20.0.2.v201207191942-407447,"com.android.ide.eclipse.base",1343826656210
started,bundle,org.eclipse.m2e.logback.configuration,1.1.0.20120530-0009,"org.eclipse.m2e.logback.configuration",1343826656221
os,sysinfo,,,"win32",1343826656226
arch,sysinfo,,,"x86_64",1343826656226
ws,sysinfo,,,"win32",1343826656226
locale,sysinfo,,,"en_AU",1343826656226
processors,sysinfo,,,"2",1343826656226
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343826656226
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1343826656226
java.specification.name,sysinfo,,,"Java Platform API Specification",1343826656226
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343826656226
java.specification.version,sysinfo,,,"1.6",1343826656226
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1343826656226
java.version,sysinfo,,,"1.6.0_24",1343826656226
java.vm.info,sysinfo,,,"mixed mode",1343826656226
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343826656226
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343826656226
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343826656226
java.vm.specification.version,sysinfo,,,"1.0",1343826656226
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1343826656226
java.vm.version,sysinfo,,,"19.1-b02",1343826656226
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1343826656597
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1343826656629
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1343826656947
started,bundle,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.adt",1343826657698
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1343826658497
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1343826658503
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1343826662963
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1343826663014
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1343826663066
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1343826663101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343826923706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827215340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343827219051
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1343827220088
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1343827220105
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1343827220558
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1343827220593
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1343827222939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827223297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827224650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827230699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827234775
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1343827234801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343827234801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827237535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827279379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827279387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827279387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827288678
error,log,,,"New Project Wizard failed",1343827316157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827319921
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1343827320785
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1343827320798
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1343827320824
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343827320881
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1343827320961
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343827321063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827321175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827321175
closed,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343827330910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.closePerspective",1343827330978
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343827336778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827340126
error,log,,,"New Project Wizard failed",1343827491587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827492727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827492807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827492807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827494398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827550527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827552068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827561901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827563928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827658934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827658947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343827658947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343827681760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829440045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829440170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829441543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829502008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829502664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829511899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829514613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343829538450
error,log,,,"New Project Wizard failed",1343829544924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829561335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343829561366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343829561366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829565345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829577092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829587482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829590071
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1343829590118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829611958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829708826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343829712233
